+----------------------------+--------------------------+-----------------------+---------------------------------------------------------------------------------------------------------+
|url_host_name               |url_host_registered_domain|url_host_private_domain|url_path                                                                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/856/entwicklungsingenieur-fahrzeugsicherheit-m-w-d                                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/857/project-engineer-interieur-kunststoffkomponenten-m-w-d                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/860/entwicklungsingenieur-fuer-massenmanagement-m-w-d                                          |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/861/project-management-coordinator-m-f-d                                                       |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/865/konstrukteur-im-bereich-automotive-m-w-d                                                   |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/866/system-test-engineer-automotive-m-f-d                                                      |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/867/htl-elektrotechniker-m-w-d                                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/868/engineer-chassis-funktionale-entwicklung-und-adas-m-w-d                                    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/869/technologischer-prozessentwickler-fuege-verbindungstechnik-m-w-d                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/870/entwicklungsingenieur-anbauteile-m-w-d                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/871/entwicklungsingenieur-anbauteile-m-w-d                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/872/teamleader-instandhaltung-m-w-d                                                            |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/873/typbegleiter-triebstrang-ottomotoren-m-w-d                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/875/senior-system-engineer-fuer-alternative-antriebssysteme-m-w-d                              |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/876/senior-engineer-fuer-integration-von-brennstoffzellensystemen-m-w-d                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/877/junior-engineer-fuer-integration-von-brennstoffzellensystemen-m-w-d                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/878/entwicklungsingenieur-fuer-wasserstoffspeicher-systeme-m-w-d                               |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/879/junior-software-entwickler-frontend-m-w-d                                                  |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/880/konstrukteur-anlagenbau-m-w-d                                                              |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/882/strategischer-einkaeufer-m-w-d                                                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/884/junior-berechnungsingenieur-im-bereich-elektrotechnik-m-w-d                                |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/885/technologischer-prozessentwickler-fuege-verbindungstechnik-schweissen-m-w-d                |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/886/design-engineer-aerospace-m-f-d                                                            |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/887/analyse-engineer-m-f-d                                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/888/development-engineer-for-hydrogen-storage-systems-m-f-d                                    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/889/engineer-aerospace-m-f-d                                                                   |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/890/engineer-chassis-m-f-d                                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/891/entwicklungsingenieur-hardware-testing-m-w-d                                               |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/892/entwicklungsingenieur-software-testing-m-w-d                                               |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/893/teamleiter-im-bereich-hardwareentwicklung-m-w-d                                            |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/894/e-commerce-und-online-shop-experte-m-w-d                                                   |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/895/produktionsplaner-m-w-d                                                                    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/896/buyer-electric-m-w-d                                                                       |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/897/production-engineer-fuer-den-bereich-elektronikfertigung-m-w-d                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/898/compliance-experte-im-engineering-m-w-d                                                    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/899/softwareentwickler-gebaeudeautomatisation-m-w                                              |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/900/servicetechniker-maschinenbau-m-w-d                                                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/901/strategischer-einkaeufer-im-automotivbereich-m-w-d                                         |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/902/system-engineer-im-elektronikbereich-m-w-d                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/903/key-account-manager-im-finanzbereich-m-w-d                                                 |
